商品編號,商品名稱,商品價格,已售出數量,商品上架時間,商家名稱,商家帳號,商家位置,商品連結,商家連結
100327289696,三多金盞花萃取物(含葉黃素)複方軟膠囊100粒~ 每盒699元 三多葉黃素，下標前請先問與答,699.0,4,03/31/2018,三多條碼一點6元(關於我說明),Y5037232717,台北市,https://tw.bid.yahoo.com/item/100327289696,https://tw.bid.yahoo.com/tw/user/Y5037232717
100339625708,三多金盞花萃取物(含葉黃素)複方軟膠囊100粒~ 每盒699元 (4盒超取免運) ~三多葉黃素，下標前請先問與答,699.0,14,03/31/2018,三多條碼一點6元(關於我說明),Y5037232717,台北市,https://tw.bid.yahoo.com/item/100339625708,https://tw.bid.yahoo.com/tw/user/Y5037232717
101205260783,【崎炫屋】買2送1買3送2三多金盞花萃取物葉黃素 三多金盞花萃取物 葉黃素 100粒 正品保證現貨,275.0,3,12/10/2021,崎炫屋,Y1287729759,台北市,https://tw.bid.yahoo.com/item/101205260783,https://tw.bid.yahoo.com/tw/user/Y1287729759
101116327904,偉力健 Miltein 鉻營養素 990g/罐 香草口味 (三多 金盞花萃取物葉黃素) 【2000224】,1000.0,0,07/13/2021,【專品藥局】P&Q實體店面,Y3882855988,台北市,https://tw.bid.yahoo.com/item/101116327904,https://tw.bid.yahoo.com/tw/user/Y3882855988
101198704146,【換糖旗艦店】現貨 兩件免運 三多金盞花萃取物葉黃素 葉黃素 複方軟膠囊 100入,550.0,23,11/30/2021,【換糖旗艦店】全場滿999免運,Y6905892877,台北市,https://tw.bid.yahoo.com/item/101198704146,https://tw.bid.yahoo.com/tw/user/Y6905892877
100603141180,三多金盞花萃取物含葉黃素複方軟膠囊 100粒,670.0,0,05/05/2019,Y2977963671,Y2977963671,其他國家,https://tw.bid.yahoo.com/item/100603141180,https://tw.bid.yahoo.com/tw/user/Y2977963671
100378685364,*雯子館*包裝完整!!! 6盒免運 三多金盞花萃取物 三多葉黃素複方軟膠囊 100粒,595.0,126,12/26/2018,*雯子館*,Y8585753526,台北市,https://tw.bid.yahoo.com/item/100378685364,https://tw.bid.yahoo.com/tw/user/Y8585753526
101205332230,【金豆豆賣場】買2送1買3送2 SENTOSA三多金盞花葉黃素Plus蝦紅素（50粒）2件免運,310.0,0,12/10/2021,Y5000570798,Y5000570798,香港,https://tw.bid.yahoo.com/item/101205332230,https://tw.bid.yahoo.com/tw/user/Y5000570798
101205333425,【金豆豆賣場】SENTOSA 三多 素食金盞花葉黃素 (50粒盒) 素食 純素 植物性 金盞花 葉黃素,275.0,0,12/10/2021,Y5000570798,Y5000570798,香港,https://tw.bid.yahoo.com/item/101205333425,https://tw.bid.yahoo.com/tw/user/Y5000570798
101205333881,【金豆豆賣場】三多金盞花萃取物葉黃素 三多 金盞花萃取物 葉黃素 複方軟膠囊 100粒,450.0,0,12/10/2021,Y5000570798,Y5000570798,香港,https://tw.bid.yahoo.com/item/101205333881,https://tw.bid.yahoo.com/tw/user/Y5000570798
